,Date,BLMN,RUTH,RICK,LUB,KRUS,FAT,DS,BBQ,NATH,RAVE,ARKR,BDL,SHAK,WING,BJRI,CBRL,MCD,YUM,QSR,CMG,SBUX,YUMC,WEN,DPZ,JACK,STKS,LIVX
1,1/2/20,21.872047,21.902412,20.39336,2.21,27.110001,4.504,3.66,4.18,70.913162,1.72,21.691286,21.543234,61.130001,84.628723,37.992634,151.091583,199.541306,101.714142,63.912636,858.190002,88.935501,48.996887,22.206495,292.712036,78.968597,3.7,1.68
2,1/3/20,21.51576,21.942093,20.213772,2.16,26.49,4.5,3.67,4.28,70.386032,1.82,21.36636,21.543234,60.490002,88.303894,37.853249,151.922394,198.835724,101.395569,63.655804,865.130005,88.417915,48.288811,22.246254,293.979095,78.869186,3.6,1.64
3,1/6/20,21.921532,21.783377,19.984297,2.16,27.83,4.59,3.71,4.5,71.54969,1.73,21.36636,21.601618,59.560001,89.452385,38.978291,152.684814,201.071732,101.335838,62.341988,858.02002,87.721161,47.740299,21.997749,293.260773,78.98848,3.59,1.79
4,1/7/20,21.575142,21.783377,19.5453,2.18,27.860001,4.5,3.93,4.53,72.584053,1.69,21.957134,21.601618,61.299999,89.821899,38.868774,151.375031,201.369873,101.515038,62.61858,860.080017,87.452415,47.80014,21.828764,291.16571,78.710106,3.59,1.88
5,1/8/20,21.891842,22.021448,19.146214,2.19,28.780001,4.626,3.92,4.36,71.56958,1.69,22.114674,21.65027,62.029999,90.540962,39.326756,153.173523,204.629471,101.694229,61.650505,856.72998,88.467682,48.408485,21.590199,289.878723,79.286743,3.36,1.75
6,1/9/20,22.0205,21.882574,19.216053,2.22,25.620001,4.626,4,4.38,72.375183,1.7,21.83898,21.65027,61.16,91.180115,39.814606,151.43367,207.054291,102.500618,62.055515,862.669983,90.110031,48.368595,21.639902,288.222595,78.232903,3.47,1.66
7,1/10/20,22.000706,21.614746,19.056417,2.21,24.9,4.574,3.9,4.45,71.589478,1.68,21.474669,21.718382,61.119999,90.790634,39.396446,154.747177,205.981018,101.236282,61.719654,857.77002,89.741745,48.667782,21.490797,288.41217,77.815338,3.61,1.615
8,1/13/20,21.604832,21.76354,18.946669,2.23,24.27,4.495,3.9,4.3,71.390556,1.69,21.474669,21.718382,60.299999,93.327286,38.699516,154.923111,205.225723,99.892303,62.045639,863,90.657478,47.999599,21.22241,283.334106,77.994293,3.87,1.49
9,1/14/20,21.396999,21.327078,18.657331,2.25,23.940001,4.55,3.99,4.39,70.614792,1.71,21.41559,21.893532,64.099998,91.57959,38.779167,158.627594,206.030701,100.270615,62.006126,859.219971,90.567894,48.328701,21.291992,284.451477,79.415985,3.83,1.49
10,1/15/20,21.575142,21.614746,18.627399,2.31,23.459999,4.72,4.06,4.27,70.863434,1.68,21.858673,21.893532,68.440002,91.269997,38.729389,158.959915,208.465469,100.788292,61.96661,865.090027,91.115341,48.518188,21.451036,287.893402,80.479767,3.95,1.5
